Key,File,Type,UsedInMainMenu,NoTranslate,english,Context,japanese
npcTrialTicket,items,Resources,,,Support Ticket,,サポートチケット
npcTrialTicketDesc,items,Resources,,,A special ticket that lets you trade for quest letters and rare items tied to animal friends.,,このチケットを使って特別なアイテムをクラフトしたり、新しい仲間と出会うための手紙クエストを受け取ることができる。
resourceMysticOre,items,Resources,,,Mystic Ore,,神秘の鉱石
resourceMysticOreDesc,items,Resources,,,"A mysterious and luminous ore,treasured by skilled craftsmen.","","熟練の職人たちに重宝される、謎めいた光を放つ鉱石。"
resourceMysticSteel,items,Resources,,,Mystic Steel,,神秘の合金
resourceMysticSteelDesc,items,Resources,,,"A forged alloy infused with Mystic Ore. Unmatched in durability.","","神秘の鉱石を鍛えて作られた合金。比類なき強度を誇る。"
materialMmysticSteel_shapes,blocks,Block,,,Mystic Steel Block,,神秘の合金ブロック
mysticSteelShapes:VariantHelper,blocks,Building,,,Mystic Steel Block,,神秘の合金ブロック
mysticSteelBlockGroupDesc,blocks,Building,,,"Blocks forged from Mystic Steel. Provides exceptional durability and resilience.","","Mystic Steel で作られた建築ブロック。非常に高い耐久性と強度を誇る。"
cntFoxLetterDesk,blocks,Blocks,,,Letter Crafting Desk,,手紙作成机
foxLetterDeskDesc,blocks,Blocks,,,A simple desk where you can craft special letters for quest requests.,,クエスト用の特別な手紙を作るための木製の机。
cntCompanionDesk,blocks,Blocks,,,Companion Desk,,動物たちの作業台
companionDeskDesc,blocks,Blocks,,,A desk used to craft items related to animal companions.,,動物の仲間に関するアイテムを作るための机。
# ===== きつね関連 =====,,,,,,,
npcMyFoxCompanion,entityclasses,Entity Name,,,Snowtail,,Snowtail
letter_welcome_fox,items,Quest,,,Mysterious Letter,,不思議な手紙
letter_welcome_foxDesc,items,Quest,,,A weathered letter with faded ink. It seems to hold a message for you.,,インクが薄れている古びた手紙。何かのメッセージが書かれているようだ。
quest_welcome_fox_title,items,Quest,,,Prepare the Letter Desk,,仲間を迎える準備をしよう
quest_welcome_fox_subtitle,items,Quest,,,Your First Step Begins Here,,ここから冒険が始まる
quest_welcome_foxDesc,items,Quest,,,Craft and place the Letter Crafting Desk to begin your journey.,,手紙作成机をクラフトして設置し、旅の第一歩を踏み出そう。
quest_welcome_fox_offer,Quests,Statement,,, "Will you craft a Fox Letter Desk to welcome the white fox?",,白いきつねを迎えるために手紙作成机を作ってみよう。
snowtail_summon_message,buffs,Buff,,,Snowtail has arrived to help you!,,Snowtailが助けに来たよ!
snowtail_revive_message,buffs,Buff,,,Snowtail has risen from the grave... again.,,Snowtailが墓から蘇った…ふたたび。
npc_revive_warning,GameEvents,Tooltip,,,Something has awakened nearby…,,何かが目覚めたようだ…
reviveStoneSnowtail,Blocks,Block,,,Snowtail's grave marker.,,Snowtailの墓標
itemFoxSupportActivator1,items,Item,,,Fox Charm I,,フォックスチャームⅠ(いち)
itemFoxSupportActivator1Desc,items,Item,,,"A charm imbued with the blessing of a white fox.\nTeaches the recipes:\n Worn Letters ,and the Companion Desk.\n[99FFFF]If you ever lose the fox's blessing,this charm may help restore it.",,白いきつねの加護が宿ったチャーム。\n以下のレシピが解放されます:\n古びた手紙、動物たちの作業台\n[99FFFF]もし加護を失ってしまったときは、このチャームをもう一度手にしてみてください。
itemFoxSupportActivator2,items,Item,,,Fox Charm II,,フォックスチャームⅡ(に)
itemFoxSupportActivator2Desc,items,Item,,,"A charm with stronger blessing of the white fox.\n[FFCC66]If you ever lose the fox's blessing,this charm may help restore it.",,"白いきつねの加護がさらに強まったチャーム。\n[FFCC66]もし加護を失ってしまったときは、このチャームをもう一度手にしてみてください。"
itemFoxSupportActivator3,items,Item,,,Fox Charm III,,フォックスチャームⅢ(さん)
itemFoxSupportActivator3Desc,items,Item,,,"A charm blessed by the wise fox spirit.\nTeaches the recipes:\nFox Charm: Claw \n[FF9999]If you ever lose the fox's blessing,this charm may help restore it.",,"賢ききつねの精霊に祝福されたチャーム。\n以下のレシピが解放されます:\nきつねのチャーム:爪\n[FF9999]もし加護を失ってしまったときは、このチャームをもう一度手にしてみてください。"
itemFoxSupportActivator4,items,Item,,,Fox Charm IV,,フォックスチャームⅣ(よん)
itemFoxSupportActivator4Desc,items,Item,,,"A charm that carries the might of the ancient fox guardian.\nUnlocks powerful crafting knowledge:\nFox Charm: Claw EX \n[66CCFF]If you ever lose the fox's blessing,this charm may help restore it.",,"古のきつねの守護者の力を宿すチャーム。\n特別なクラフト知識が解放されます:\nきつねのチャーム:爪・改\n[66CCFF]もし加護を失ってしまったときは、このチャームをもう一度手にしてみてください。"
FoxSupportLv1,buffs,Buff,,,Lv1,,レベル1
buffFoxSupport1Desc,buffs,Buff,,,The fox's blessing grants better mobility and stamina efficiency.,,きつねの加護で移動とスタミナ効率が少し上がっています。
FoxSupportLv2,buffs,Buff,,,Lv2,,レベル2
buffFoxSupport2Desc,buffs,Buff,,,The fox's blessing allows natural recovery of health and stamina for longer journeys.,,きつねの加護で体力とスタミナが自然に回復し、長く活動できるようになります。
FoxSupportLv3,buffs,Buff,,,Lv3,,レベル3
buffFoxSupport3Desc,buff,Buff,,,"The fox's blessing enhances crafting speed,loot quality,and item durability.",,きつねの加護でクラフトが早くなり、敵からの戦利品や道具の耐久性にも恵まれます。
FoxSupportLv4,buffs,Buff,,,Lv4,,レベル4
buffFoxSupport4Desc,buffs,Buff,,,The guardian fox's ultimate blessing grants powerful abilities at night and boosts experience gain.,,守護きつねの最上位の加護により、夜間に強くなり、経験値の取得量も増加します。
schematic_fox_trial_2,items,Item,,,Fox Trial Craft Schematic,,きつねの試練の手紙クラフト図面
schematic_fox_trial_2Desc,items,Item,,,Unlocks the recipe for the second trial letter.,,試練の手紙(Ⅱ)のクラフト方法を解放します。
schematic_fox_trial_3,items,Item,,,Fox Trial Craft Schematic,,きつねの試練の手紙クラフト図面
schematic_fox_trial_3Desc,items,Item,,,Unlocks the recipe for the third trial letter.,,試練の手紙(Ⅲ)のクラフト方法を解放します。
schematic_fox_trial_4,items,Item,,,Fox Trial Craft Schematic,,きつねの試練の手紙クラフト図面
schematic_fox_trial_4Desc,items,Item,,,Unlocks the recipe for the fourth trial letter.,,試練の手紙(Ⅳ)のクラフト方法を解放します。
